target,perturbation,on_buscar_scores,off_buscar_scores,is_reference_distance,iteration
healthy_DMSO,failing_DMSO,1.0,0.0,true,14
healthy_DMSO,failing_TGFRi,0.9088428796160284,0.47058823529411764,false,14
healthy_DMSO,failing_drug_x,0.9229018629074472,0.56,false,15
healthy_DMSO,failing_DMSO,0.9999999999999999,0.0,true,15
healthy_DMSO,healthy_drug_x,0.8869875855888042,0.64,false,15
healthy_DMSO,healthy_TGFRi,0.6738092331000892,0.12,false,15
healthy_DMSO,failing_TGFRi,0.899950676381815,0.36,false,15
healthy_DMSO,failing_drug_x,0.910524742580317,0.6140350877192983,false,16
healthy_DMSO,healthy_drug_x,0.8755486243475654,0.6491228070175439,false,16
healthy_DMSO,healthy_TGFRi,0.662295754761267,0.15789473684210525,false,16
healthy_DMSO,failing_TGFRi,0.8873504070056845,0.40350877192982454,false,16
healthy_DMSO,failing_DMSO,0.9999999999999999,0.0,true,16
healthy_DMSO,healthy_drug_x,0.8858282085340707,0.6333333333333333,false,17
healthy_DMSO,failing_DMSO,1.0,0.0,true,17
healthy_DMSO,failing_TGFRi,0.8984195643565616,0.4666666666666667,false,17
healthy_DMSO,failing_drug_x,0.9224241386199933,0.6,false,17
healthy_DMSO,healthy_TGFRi,0.6689635397297886,0.2,false,17
healthy_DMSO,healthy_TGFRi,0.6673382591279127,0.17543859649122806,false,18
healthy_DMSO,failing_TGFRi,0.8945215974970399,0.5263157894736842,false,18
healthy_DMSO,failing_drug_x,0.918637629760299,0.631578947368421,false,18
healthy_DMSO,healthy_drug_x,0.8822261714425099,0.6842105263157895,false,18
healthy_DMSO,failing_DMSO,0.9999999999999999,0.0,true,18
healthy_DMSO,healthy_TGFRi,0.6798648261430685,0.2037037037037037,false,19
healthy_DMSO,failing_TGFRi,0.9098550201978027,0.42592592592592593,false,19
healthy_DMSO,healthy_drug_x,0.896671404196253,0.7222222222222222,false,19
healthy_DMSO,failing_DMSO,1.0,0.0,true,19
healthy_DMSO,failing_drug_x,0.9330309167041327,0.6666666666666666,false,19
healthy_DMSO,healthy_drug_x,0.8918390438752901,0.6666666666666666,false,20
healthy_DMSO,healthy_TGFRi,0.677816264925334,0.16666666666666666,false,20
healthy_DMSO,failing_drug_x,0.9289958613591792,0.6041666666666666,false,20
healthy_DMSO,failing_DMSO,1.0,0.0,true,20
healthy_DMSO,failing_TGFRi,0.9055445967793982,0.4375,false,20
healthy_DMSO,healthy_TGFRi,0.6779375707885769,0.1346153846153846,false,21
healthy_DMSO,failing_TGFRi,0.9059599652893301,0.38461538461538464,false,21
healthy_DMSO,failing_DMSO,1.0,0.0,true,21
healthy_DMSO,failing_drug_x,0.9292713361979184,0.5961538461538461,false,21
healthy_DMSO,healthy_drug_x,0.892735786679666,0.6153846153846154,false,21
healthy_DMSO,failing_DMSO,0.9999999999999999,0.0,true,22
healthy_DMSO,failing_drug_x,0.9398948129108068,0.5818181818181818,false,22
healthy_DMSO,healthy_TGFRi,0.6804435827843008,0.10909090909090909,false,22
healthy_DMSO,healthy_drug_x,0.901574301119431,0.6363636363636364,false,22
healthy_DMSO,failing_TGFRi,0.9112378548719391,0.43636363636363634,false,22
healthy_DMSO,failing_drug_x,0.9319983005109072,0.5714285714285714,false,23
healthy_DMSO,failing_DMSO,1.0,0.0,true,23
healthy_DMSO,failing_TGFRi,0.9087672431521003,0.3877551020408163,false,23
healthy_DMSO,healthy_drug_x,0.8958421069230531,0.6122448979591837,false,23
healthy_DMSO,healthy_TGFRi,0.681027526147135,0.14285714285714285,false,23
healthy_DMSO,failing_drug_x,0.9233157287208846,0.6470588235294118,false,24
healthy_DMSO,failing_TGFRi,0.9004079697055025,0.37254901960784315,false,24
healthy_DMSO,failing_DMSO,1.0,0.0,true,24
healthy_DMSO,healthy_TGFRi,0.6742255008753095,0.17647058823529413,false,24
healthy_DMSO,healthy_drug_x,0.8871075928589951,0.6862745098039216,false,24
healthy_DMSO,failing_DMSO,1.0,0.0,true,25
healthy_DMSO,healthy_TGFRi,0.6766845269363726,0.1509433962264151,false,25
healthy_DMSO,failing_TGFRi,0.9058020452791448,0.3584905660377358,false,25
healthy_DMSO,failing_drug_x,0.9294478379131965,0.6037735849056604,false,25
