feature,p_value,ks_stat,p_value_fdr_corrected,neg_log10_p_value,signature,compartment,channel
Cytoplasm_Correlation_Correlation_Mitochondria_PM,2.8318979550008484e-147,0.37163870617271155,2.188890536983009e-146,145.65977595628172,on,Cytoplasm,Mitochondria
Cytoplasm_Correlation_K_Actin_PM,6.4e-323,0.931887856016613,2.11e-320,319.67568577168896,on,Cytoplasm,Actin
Cytoplasm_Correlation_K_Mitochondria_PM,1.0493095900910585e-188,0.41907156987468125,1.0445400010451901e-187,186.98107492389758,on,Cytoplasm,Mitochondria
Cytoplasm_Correlation_K_PM_Actin,1.24e-322,0.9239345635342819,2.272e-320,319.64355193354174,on,Cytoplasm,PM
Cytoplasm_Correlation_K_PM_Mitochondria,7.406949407414982e-182,0.41166174704658837,7.052704000973396e-181,180.15164434293,on,Cytoplasm,PM
Cytoplasm_Correlation_Overlap_Actin_PM,0.004112409108271887,0.05085060399113876,0.0045030879735577165,2.3464895684584612,on,Cytoplasm,Actin
Cytoplasm_Correlation_Overlap_Mitochondria_PM,0.0022182995897971768,0.05333312858244079,0.002453573788715059,2.6102008765255778,on,Cytoplasm,Mitochondria
Cytoplasm_Correlation_RWC_Actin_ER,2.1160074167965227e-24,0.15189900854179134,3.808813350233741e-24,23.41921030928961,on,Cytoplasm,Actin
Cytoplasm_Correlation_RWC_Actin_PM,2.8922977191271277e-19,0.13469937370221127,4.668893369696616e-19,18.330786044570193,on,Cytoplasm,Actin
Cytoplasm_Correlation_RWC_ER_Hoechst,3.2668456477004486e-139,0.36158415765562785,2.2126985469476235e-138,137.65507774934198,on,Cytoplasm,ER
Cytoplasm_Correlation_RWC_ER_Mitochondria,3.280690225203277e-20,0.13802841526488288,5.4020387918760724e-20,19.267442301481918,on,Cytoplasm,ER
Cytoplasm_Correlation_RWC_ER_PM,3.0450773840652266e-9,0.09218980919616239,4.082889472103783e-9,8.389032376703293,on,Cytoplasm,ER
Cytoplasm_Correlation_RWC_Hoechst_ER,5.330101489373427e-19,0.13374920159149029,8.562045668749001e-19,18.067422460029764,on,Cytoplasm,Hoechst
Cytoplasm_Correlation_RWC_Hoechst_Mitochondria,2.434938360929188e-18,0.13135793511284252,3.864141311909364e-18,17.412946999787525,on,Cytoplasm,Hoechst
Cytoplasm_Correlation_RWC_Hoechst_PM,1.6520762568498706e-10,0.09858307583509171,2.2802817242654728e-10,9.642011493466443,on,Cytoplasm,Hoechst
Cytoplasm_Correlation_RWC_Mitochondria_Actin,4.819577772099982e-152,0.37744867271033716,3.90921308181443e-151,150.4079106565736,on,Cytoplasm,Mitochondria
Cytoplasm_Correlation_RWC_Mitochondria_ER,5.752127552944413e-43,0.20202634600117508,1.3692564501030723e-42,41.863515204580246,on,Cytoplasm,Mitochondria
Cytoplasm_Correlation_RWC_Mitochondria_PM,1.5629797460450877e-11,0.10346582475659039,2.2130984766198765e-11,10.654999260767243,on,Cytoplasm,Mitochondria
Cytoplasm_Correlation_RWC_PM_ER,7.057000131620968e-25,0.15339688929007267,1.2879025240208266e-24,23.89011700567329,on,Cytoplasm,PM
Cytoplasm_Correlation_RWC_PM_Hoechst,1.403874022502492e-89,0.2912078367124429,5.624056297464252e-89,88.24995034062769,on,Cytoplasm,PM
Cytoplasm_Correlation_RWC_PM_Mitochondria,4.71669844752787e-55,0.2286849122106554,1.3186684595854515e-54,53.87986438130852,on,Cytoplasm,PM
