feature,p_value,ks_stat,p_value_fdr_corrected,neg_log10_p_value,signature,compartment,channel
Nuclei_Correlation_Correlation_Actin_Hoechst,0.8280114402271158,0.01800456178590127,0.9959731764549559,0.001752357835805311,off,Nuclei,Actin
Nuclei_Correlation_Correlation_Actin_Mitochondria,0.27224802786074864,0.028788615338497216,0.8883754876337983,0.051403433163013004,off,Nuclei,Actin
Nuclei_Correlation_Correlation_Actin_PM,0.6519250538432182,0.021173081848049564,0.9869003695276368,0.005726688412802338,off,Nuclei,Actin
Nuclei_Correlation_Correlation_ER_Hoechst,0.9284940888555435,0.01563137097198608,0.9959731764549559,0.001752357835805311,off,Nuclei,ER
Nuclei_Correlation_Correlation_ER_Mitochondria,0.14792313455974626,0.032938500030152765,0.8883754876337983,0.051403433163013004,off,Nuclei,ER
Nuclei_Correlation_Correlation_ER_PM,0.26382921418153915,0.029017600418715574,0.8883754876337983,0.051403433163013004,off,Nuclei,ER
Nuclei_Correlation_Correlation_Hoechst_Mitochondria,0.3193800655595573,0.027592342252634128,0.9216245402776733,0.03544596972242113,off,Nuclei,Hoechst
Nuclei_Correlation_Correlation_Hoechst_PM,0.8475634500924564,0.017606017372793308,0.9959731764549559,0.001752357835805311,off,Nuclei,Hoechst
Nuclei_Correlation_Correlation_Mitochondria_PM,0.5750267892969205,0.022503562745511116,0.9691817037185736,0.013594793099393864,off,Nuclei,Mitochondria
Nuclei_Correlation_K_ER_Hoechst,0.20694506921754308,0.030726710505752302,0.8883754876337983,0.051403433163013004,off,Nuclei,ER
Nuclei_Correlation_K_ER_Mitochondria,0.2701187879925488,0.028846041565390956,0.8883754876337983,0.051403433163013004,off,Nuclei,ER
Nuclei_Correlation_K_ER_PM,0.6149360104403702,0.021809889116194373,0.9712728134501858,0.012658767275538683,off,Nuclei,ER
Nuclei_Correlation_K_Hoechst_Actin,0.9537237808954244,0.014776376033972012,0.9959731764549559,0.001752357835805311,off,Nuclei,Hoechst
Nuclei_Correlation_K_Hoechst_ER,0.8162639620023763,0.018236026271459052,0.9959731764549559,0.001752357835805311,off,Nuclei,Hoechst
Nuclei_Correlation_K_Hoechst_Mitochondria,0.40670955760874344,0.025658646030336085,0.9470362387028508,0.02363340223478342,off,Nuclei,Hoechst
Nuclei_Correlation_K_Mitochondria_ER,0.06890369761234318,0.03748269015159404,0.8883754876337983,0.051403433163013004,off,Nuclei,Mitochondria
Nuclei_Correlation_K_Mitochondria_Hoechst,0.40509965492411226,0.025691838069557396,0.9470362387028508,0.02363340223478342,off,Nuclei,Mitochondria
Nuclei_Correlation_K_Mitochondria_PM,0.9602747838201778,0.0145101198928449,0.9959731764549559,0.001752357835805311,off,Nuclei,Mitochondria
Nuclei_Correlation_K_PM_Actin,0.281121966940671,0.02855275190798239,0.8986548900902616,0.04640705810526031,off,Nuclei,PM
Nuclei_Correlation_K_PM_ER,0.3809109843056929,0.02619979624086959,0.9470362387028508,0.02363340223478342,off,Nuclei,PM
Nuclei_Correlation_K_PM_Hoechst,0.0013935181932329367,0.05512941776044433,0.5195986315195773,0.28433200141016984,off,Nuclei,PM
Nuclei_Correlation_K_PM_Mitochondria,0.9581819389196519,0.014597938830350928,0.9959731764549559,0.001752357835805311,off,Nuclei,PM
Nuclei_Correlation_Overlap_Actin_Hoechst,0.26832050172109556,0.028894829864005416,0.8883754876337983,0.051403433163013004,off,Nuclei,Actin
Nuclei_Correlation_Overlap_Actin_PM,0.2434486276706605,0.029594981939531622,0.8883754876337983,0.051403433163013004,off,Nuclei,Actin
Nuclei_Correlation_Overlap_ER_Hoechst,0.7293332451183545,0.019832123463508513,0.9959731764549559,0.001752357835805311,off,Nuclei,ER
Nuclei_Correlation_Overlap_ER_Mitochondria,0.1456503969375144,0.033036796454738296,0.8883754876337983,0.051403433163013004,off,Nuclei,ER
Nuclei_Correlation_Overlap_ER_PM,0.5863035348153278,0.022306490011435656,0.9691817037185736,0.013594793099393864,off,Nuclei,ER
Nuclei_Correlation_Overlap_Hoechst_Mitochondria,0.5453549618077025,0.02302743709948606,0.9600511456520627,0.01770562979086218,off,Nuclei,Hoechst
Nuclei_Correlation_Overlap_Hoechst_PM,0.7196732094850431,0.02000160281558071,0.9959731764549559,0.001752357835805311,off,Nuclei,Hoechst
Nuclei_Correlation_Overlap_Mitochondria_PM,0.909990446652337,0.01615396563288261,0.9959731764549559,0.001752357835805311,off,Nuclei,Mitochondria
Nuclei_Correlation_RWC_Actin_ER,0.40793189581873174,0.025633532053672248,0.9470362387028508,0.02363340223478342,off,Nuclei,Actin
Nuclei_Correlation_RWC_Actin_Hoechst,0.1556629611456095,0.032612418237609894,0.8883754876337983,0.051403433163013004,off,Nuclei,Actin
Nuclei_Correlation_RWC_Actin_Mitochondria,0.8728224629664207,0.017059108543406948,0.9959731764549559,0.001752357835805311,off,Nuclei,Actin
Nuclei_Correlation_RWC_Actin_PM,0.2405141612169613,0.029681041299054835,0.8883754876337983,0.051403433163013004,off,Nuclei,Actin
Nuclei_Correlation_RWC_ER_Actin,0.9904863253926468,0.012584341771469531,0.9986600063456854,0.0005823421044118704,off,Nuclei,ER
Nuclei_Correlation_RWC_ER_Hoechst,0.943781390945769,0.01513964890660624,0.9959731764549559,0.001752357835805311,off,Nuclei,ER
Nuclei_Correlation_RWC_ER_Mitochondria,0.20268625033792576,0.03086843651418644,0.8883754876337983,0.051403433163013004,off,Nuclei,ER
Nuclei_Correlation_RWC_ER_PM,0.5605741611967688,0.022757661802393313,0.9624503849903414,0.016621649435357776,off,Nuclei,ER
Nuclei_Correlation_RWC_Hoechst_Actin,0.7054860857101496,0.020248903502983844,0.9959731764549559,0.001752357835805311,off,Nuclei,Hoechst
Nuclei_Correlation_RWC_Hoechst_ER,0.3130150846508181,0.02774630532613058,0.9216245402776733,0.03544596972242113,off,Nuclei,Hoechst
Nuclei_Correlation_RWC_Hoechst_Mitochondria,0.3962497874035503,0.02587547402630953,0.9470362387028508,0.02363340223478342,off,Nuclei,Hoechst
Nuclei_Correlation_RWC_Hoechst_PM,0.4485384175482321,0.024822526565228594,0.9506120655780275,0.02199667775354316,off,Nuclei,Hoechst
Nuclei_Correlation_RWC_Mitochondria_Actin,0.8884020910228718,0.01669767522957294,0.9959731764549559,0.001752357835805311,off,Nuclei,Mitochondria
Nuclei_Correlation_RWC_Mitochondria_ER,0.21220127891519686,0.03055483172915808,0.8883754876337983,0.051403433163013004,off,Nuclei,Mitochondria
Nuclei_Correlation_RWC_Mitochondria_Hoechst,0.6021573679857992,0.022030956095490058,0.9712728134501858,0.012658767275538683,off,Nuclei,Mitochondria
Nuclei_Correlation_RWC_Mitochondria_PM,0.4399376718594033,0.02499072622422238,0.9489059523632086,0.02277682908345986,off,Nuclei,Mitochondria
Nuclei_Correlation_RWC_PM_Actin,0.13964496606130145,0.03330281265341321,0.8883754876337983,0.051403433163013004,off,Nuclei,PM
Nuclei_Correlation_RWC_PM_ER,0.7903350760324371,0.018730227742178317,0.9959731764549559,0.001752357835805311,off,Nuclei,PM
Nuclei_Correlation_RWC_PM_Mitochondria,0.9388598567908433,0.015305529121895405,0.9959731764549559,0.001752357835805311,off,Nuclei,PM
Nuclei_Granularity_1_Actin,0.9099359309386209,0.016155405287595823,0.9959731764549559,0.001752357835805311,off,Nuclei,Actin
Nuclei_Granularity_1_ER,0.8851348372466233,0.016775336603269072,0.9959731764549559,0.001752357835805311,off,Nuclei,ER
Nuclei_Granularity_1_Hoechst,0.291655750948068,0.028279537435741412,0.9093456501423777,0.04127100630929407,off,Nuclei,Hoechst
Nuclei_Granularity_1_Mitochondria,0.3176386742667173,0.027634252200952125,0.9216245402776733,0.03544596972242113,off,Nuclei,Mitochondria
Nuclei_Granularity_1_PM,0.8786881601965632,0.01692554057834769,0.9959731764549559,0.001752357835805311,off,Nuclei,PM
Nuclei_Intensity_IntegratedIntensityEdge_Hoechst,0.16215782840746687,0.032348641501822206,0.8883754876337983,0.051403433163013004,off,Nuclei,Hoechst
Nuclei_Intensity_IntegratedIntensity_Actin,0.8132170903371457,0.018295212076335613,0.9959731764549559,0.001752357835805311,off,Nuclei,Actin
Nuclei_Intensity_IntegratedIntensity_ER,0.27425269260824703,0.028734868229203906,0.8883754876337983,0.051403433163013004,off,Nuclei,ER
Nuclei_Intensity_IntegratedIntensity_Hoechst,0.370492832297506,0.026424702299400513,0.9470362387028508,0.02363340223478342,off,Nuclei,Hoechst
Nuclei_Intensity_IntegratedIntensity_Mitochondria,0.7929613821442785,0.018681039539476852,0.9959731764549559,0.001752357835805311,off,Nuclei,Mitochondria
Nuclei_Intensity_IntegratedIntensity_PM,0.4756303364223914,0.024303371079480298,0.9600511456520627,0.01770562979086218,off,Nuclei,PM
Nuclei_Intensity_LowerQuartileIntensity_ER,0.32453445097209066,0.027469171793836965,0.9216245402776733,0.03544596972242113,off,Nuclei,ER
Nuclei_Intensity_LowerQuartileIntensity_Hoechst,0.8778470661084202,0.016944895936158673,0.9959731764549559,0.001752357835805311,off,Nuclei,Hoechst
Nuclei_Intensity_LowerQuartileIntensity_PM,0.11983732630303275,0.03425146512860355,0.8883754876337983,0.051403433163013004,off,Nuclei,PM
Nuclei_Intensity_MADIntensity_Actin,0.23998870445839598,0.02969655757763058,0.8883754876337983,0.051403433163013004,off,Nuclei,Actin
Nuclei_Intensity_MADIntensity_Hoechst,0.6978410791469056,0.020381591679051698,0.9959731764549559,0.001752357835805311,off,Nuclei,Hoechst
Nuclei_Intensity_MADIntensity_Mitochondria,0.10686393959653925,0.0349450587771029,0.8883754876337983,0.051403433163013004,off,Nuclei,Mitochondria
Nuclei_Intensity_MADIntensity_PM,0.4462891008831529,0.02486635605316421,0.9489059523632086,0.02277682908345986,off,Nuclei,PM
Nuclei_Intensity_MassDisplacement_Actin,0.30829505236583415,0.02786187760727467,0.9216245402776733,0.03544596972242113,off,Nuclei,Actin
Nuclei_Intensity_MassDisplacement_ER,0.23167651808379766,0.029945057977294725,0.8883754876337983,0.051403433163013004,off,Nuclei,ER
Nuclei_Intensity_MassDisplacement_Hoechst,0.9140529096505694,0.016044551874678376,0.9959731764549559,0.001752357835805311,off,Nuclei,Hoechst
Nuclei_Intensity_MassDisplacement_Mitochondria,0.20709208192787665,0.030721831675890855,0.8883754876337983,0.051403433163013004,off,Nuclei,Mitochondria
Nuclei_Intensity_MassDisplacement_PM,0.9100152612790611,0.016153325786343403,0.9959731764549559,0.001752357835805311,off,Nuclei,PM
Nuclei_Intensity_MaxIntensityEdge_PM,0.7403479740403502,0.019637610115589878,0.9959731764549559,0.001752357835805311,off,Nuclei,PM
Nuclei_Intensity_MinIntensityEdge_Actin,0.28177002642099525,0.02853571599387603,0.8986548900902616,0.04640705810526031,off,Nuclei,Actin
Nuclei_Intensity_MinIntensityEdge_Hoechst,0.7078977427144504,0.020206993554665847,0.9959731764549559,0.001752357835805311,off,Nuclei,Hoechst
Nuclei_Intensity_MinIntensity_Mitochondria,0.10762036449015776,0.0349027489246979,0.8883754876337983,0.051403433163013004,off,Nuclei,Mitochondria
Nuclei_Intensity_MinIntensity_PM,0.8209685237010159,0.018143968350630785,0.9959731764549559,0.001752357835805311,off,Nuclei,PM
Nuclei_Intensity_StdIntensityEdge_Actin,0.05546774860639653,0.0386755240623089,0.8883754876337983,0.051403433163013004,off,Nuclei,Actin
Nuclei_Intensity_StdIntensityEdge_ER,0.6318856745490318,0.021517719190229417,0.9762684605173206,0.0104307408483136,off,Nuclei,ER
Nuclei_Intensity_StdIntensityEdge_Hoechst,0.22160934204266947,0.030255143606357452,0.8883754876337983,0.051403433163013004,off,Nuclei,Hoechst
Nuclei_Intensity_StdIntensityEdge_Mitochondria,0.14638403313648446,0.033004964089412794,0.8883754876337983,0.051403433163013004,off,Nuclei,Mitochondria
Nuclei_Intensity_StdIntensityEdge_PM,0.7707514045961293,0.019091501094377523,0.9959731764549559,0.001752357835805311,off,Nuclei,PM
Nuclei_Neighbors_FirstClosestDistance_Adjacent,0.47452689957186095,0.024324166092004492,0.9600511456520627,0.01770562979086218,off,Nuclei,no-channel
Nuclei_RadialDistribution_FracAtD_Actin_1of4,0.965876160268395,0.014259699953563137,0.9959731764549559,0.001752357835805311,off,Nuclei,Actin
Nuclei_RadialDistribution_FracAtD_Actin_2of4,0.8294715366147813,0.017975448768367396,0.9959731764549559,0.001752357835805311,off,Nuclei,Actin
Nuclei_RadialDistribution_FracAtD_Actin_3of4,0.20997325164714142,0.030627294349723163,0.8883754876337983,0.051403433163013004,off,Nuclei,Actin
Nuclei_RadialDistribution_FracAtD_Actin_4of4,0.8317442081810358,0.017929859702448963,0.9959731764549559,0.001752357835805311,off,Nuclei,Actin
Nuclei_RadialDistribution_FracAtD_ER_2of4,0.8414433152394237,0.017732786968373507,0.9959731764549559,0.001752357835805311,off,Nuclei,ER
Nuclei_RadialDistribution_FracAtD_ER_3of4,0.38525565864797967,0.026107098473502115,0.9470362387028508,0.02363340223478342,off,Nuclei,ER
Nuclei_RadialDistribution_FracAtD_ER_4of4,0.46903096659376975,0.024428461077895078,0.9600511456520627,0.01770562979086218,off,Nuclei,ER
Nuclei_RadialDistribution_FracAtD_Hoechst_1of4,0.6197470220760471,0.02172686902773239,0.971775163493945,0.012434204774315755,off,Nuclei,Hoechst
Nuclei_RadialDistribution_FracAtD_Hoechst_2of4,0.23930123190099034,0.029716872705250374,0.8883754876337983,0.051403433163013004,off,Nuclei,Hoechst
Nuclei_RadialDistribution_FracAtD_Hoechst_3of4,0.32626889158522143,0.02742798167287558,0.9216245402776733,0.03544596972242113,off,Nuclei,Hoechst
Nuclei_RadialDistribution_FracAtD_Hoechst_4of4,0.4451865168469229,0.024887870893045012,0.9489059523632086,0.02277682908345986,off,Nuclei,Hoechst
Nuclei_RadialDistribution_FracAtD_Mitochondria_1of4,0.9695902153707551,0.014078703363785229,0.9959731764549559,0.001752357835805311,off,Nuclei,Mitochondria
Nuclei_RadialDistribution_FracAtD_Mitochondria_2of4,0.9949812038909346,0.011947934407411726,0.9986600063456854,0.0005823421044118704,off,Nuclei,Mitochondria
Nuclei_RadialDistribution_FracAtD_Mitochondria_3of4,0.911366472721673,0.016117254437695662,0.9959731764549559,0.001752357835805311,off,Nuclei,Mitochondria
Nuclei_RadialDistribution_FracAtD_Mitochondria_4of4,0.695059621988416,0.02042974013112695,0.9959731764549559,0.001752357835805311,off,Nuclei,Mitochondria
Nuclei_RadialDistribution_FracAtD_PM_1of4,0.19831252757153928,0.031016401026377833,0.8883754876337983,0.051403433163013004,off,Nuclei,PM
Nuclei_RadialDistribution_FracAtD_PM_2of4,0.5544153145146655,0.02286651569487574,0.9624503849903414,0.016621649435357776,off,Nuclei,PM
Nuclei_RadialDistribution_FracAtD_PM_3of4,0.9819595631641274,0.013341440188985074,0.9986600063456854,0.0005823421044118704,off,Nuclei,PM
Nuclei_RadialDistribution_FracAtD_PM_4of4,0.3796232464339906,0.02622738962287285,0.9470362387028508,0.02363340223478342,off,Nuclei,PM
Nuclei_RadialDistribution_MeanFrac_Actin_1of4,0.3171615377069115,0.027645769438657833,0.9216245402776733,0.03544596972242113,off,Nuclei,Actin
Nuclei_RadialDistribution_MeanFrac_Actin_2of4,0.9009108214213812,0.016389749082580035,0.9959731764549559,0.001752357835805311,off,Nuclei,Actin
Nuclei_RadialDistribution_MeanFrac_Actin_4of4,0.7139515754052288,0.020101578837331654,0.9959731764549559,0.001752357835805311,off,Nuclei,Actin
Nuclei_RadialDistribution_MeanFrac_Hoechst_1of4,0.14329952665188248,0.03313989172836787,0.8883754876337983,0.051403433163013004,off,Nuclei,Hoechst
Nuclei_RadialDistribution_MeanFrac_Hoechst_2of4,0.872485664315006,0.01706670672106002,0.9959731764549559,0.001752357835805311,off,Nuclei,Hoechst
Nuclei_RadialDistribution_MeanFrac_Hoechst_3of4,0.20457903539288588,0.03080517168762244,0.8883754876337983,0.051403433163013004,off,Nuclei,Hoechst
Nuclei_RadialDistribution_MeanFrac_Hoechst_4of4,0.06365880932132532,0.03792234470484599,0.8883754876337983,0.051403433163013004,off,Nuclei,Hoechst
Nuclei_RadialDistribution_MeanFrac_Mitochondria_1of4,0.7867766865275484,0.01879653183980354,0.9959731764549559,0.001752357835805311,off,Nuclei,Mitochondria
Nuclei_RadialDistribution_MeanFrac_Mitochondria_2of4,0.9966337223002893,0.011597858369648623,0.9986600063456854,0.0005823421044118704,off,Nuclei,Mitochondria
Nuclei_RadialDistribution_MeanFrac_Mitochondria_3of4,0.010754662203087094,0.04672247408181622,0.779025704461127,0.10844821226138235,off,Nuclei,Mitochondria
Nuclei_RadialDistribution_MeanFrac_Mitochondria_4of4,0.7299913832359562,0.0198205262449854,0.9959731764549559,0.001752357835805311,off,Nuclei,Mitochondria
Nuclei_RadialDistribution_MeanFrac_PM_1of4,0.48012659061953417,0.0242186713938529,0.9600511456520627,0.01770562979086218,off,Nuclei,PM
Nuclei_RadialDistribution_MeanFrac_PM_2of4,0.05286949908611541,0.03893442196823514,0.8883754876337983,0.051403433163013004,off,Nuclei,PM
